#tlow thigh dt sim len(old_es) measure_data
1 80.0 79.0 0.5617740232312566 9164 (6916, 12311, 9164, 10063)
80.0 158.0 78.0 0.5620776683220712 10023 (6904, 12283, 9164, 10023)
158.0 213.0 55.0 0.5350538988118656 9486 (6800, 12709, 10023, 9486)
213.0 264.0 51.0 0.5208415103226313 9888 (6635, 12739, 9486, 9888)
264.0 306.0 42.0 0.5133970542149796 9429 (6553, 12764, 9888, 9429)
306.0 353.0 47.0 0.5130699539581167 10946 (6909, 13466, 9429, 10946)
353.0 389.0 36.0 0.4781072975674775 11233 (7174, 15005, 10946, 11233)
389.0 437.0 48.0 0.4514469064051338 12742 (7457, 16518, 11233, 12742)
437.0 505.0 68.0 0.47100728091770994 15341 (8992, 19091, 12742, 15341)
505.0 564.0 59.0 0.4706921944035346 14617 (9588, 20370, 15341, 14617)
564.0 595.0 31.0 0.4375464471502887 10530 (7654, 17493, 14617, 10530)
