,complete,dyn1,dyn2,dyn3,dyn4,dyn5,dyn6,dyn7,dyn8,dyn9,dyn10,dyn11
1,0,0.212357,0.204098,0,0.185723,0.151705,0.151865,0.126694,0.148948,0.15277,0.151958,0.158321
2,0,0.266155,0.188583,0.214092,0.183027,0.181262,0.156424,0,0.131848,0.118329,0.163304,0.156861
3,0,0.288942,0.250421,0.177663,0.20975,0.190696,0.188084,0.146039,0.127328,0.208099,0,0.158508
4,0.0538414,0.248275,0.256003,0.138721,0.191111,0.195876,0.134131,0.121218,0.151403,0.086085,0.194224,0.159258
5,0,0.294473,0.237952,0.167624,0,0.157926,0.147597,0.166626,0.166066,0.159377,0.142018,0.164131
6,0.0497538,0.279327,0.238754,0.226071,0.181752,0.211765,0.178707,0.150928,0.147874,0.117503,0.180526,0.153251
7,0.0216746,0.255034,0.185494,0.185429,0.146771,0.150705,0.177465,0.161208,0.162911,0.174645,0.185842,0.148974
8,0.016255,0.239195,0.224265,0.191637,0.166424,0.193327,0.173248,0.117109,0.152039,0.0982347,0.163732,0.138115
9,0,0.249652,0.187544,0.169833,0.242359,0.158961,0.130443,0.154139,0.192478,0.147319,0,0.164109
10,0.0184256,0.223032,0.207762,0.170548,0.200624,0.186663,0.140691,0.102065,0.149753,0.149229,0.19952,0.148159
11,0.0409792,0.221368,0.167061,0.201851,0.187596,0.169723,0.154807,0.140343,0.159596,0.201466,0.213624,0.178107
12,0,0.246308,0.241297,0.246144,0.229381,0.187533,0.129636,0.141118,0.153995,0.151289,0.19895,0.170711
13,0.00700372,0.231395,0.220052,0.192867,0.172892,0.153137,0.204912,0.1491,0.146395,0.130925,0.189882,0.169514
14,0.0545359,0.250188,0.223375,0.221991,0.225963,0.175234,0.152133,0.150003,0.136283,0.182733,0.202957,0.135069
15,0,0.188471,0.172577,0.190032,0.167034,0.141024,0.154135,0.157122,0.145742,0,0.173966,0.127617
16,0,0.181745,0.284144,0.238552,0.180916,0.165565,0.1378,0.145634,0.170704,0.152454,0.194149,0.189244
17,0,0.281052,0.175744,0.205365,0.216011,0.199252,0.17243,0.13586,0.135957,0.146262,0,0.138743
18,0,0.211733,0.209523,0.231681,0.193585,0,0.214358,0.148159,0.124213,0.154253,0.178599,0.14579
19,0,0.195291,0.182435,0.228724,0.208343,0.206169,0.119941,0.174449,0.17861,0.135423,0.171639,0.143384
20,0,0.228035,0.215865,0.185913,0.210593,0.198128,0.14125,0.165347,0.147908,0.173609,0.162439,0.155551
21,0,0.205944,0.23406,0,0.189667,0.163843,0.137331,0.133689,0.142916,0.109337,0.185595,0.139745
22,0,0.222699,0.226559,0.189467,0,0.163722,0.214681,0.131531,0.146139,0.112755,0.176392,0.137258
23,0.0163385,0.23128,0.168806,0.18999,0.181174,0.210745,0.169071,0.132012,0.143263,0.163023,0.176102,0.154885
24,0.0140485,0.290807,0.261508,0.186076,0.199972,0,0.145919,0.152203,0.180315,0,0,0.144004
25,0,0.283505,0.226128,0.255445,0.154482,0.176714,0.166824,0.143661,0.153027,0.12732,0.208575,0.171473
26,0.0216793,0.2961,0.214079,0.218982,0.147648,0.221902,0.155688,0.170912,0.167321,0.173248,0.212993,0.167013
27,0.0573217,0.210101,0.218069,0.19841,0.177008,0.172503,0.218199,0,0.164416,0.116399,0,0.186275
28,0,0.206215,0.222203,0.198933,0.19409,0.207908,0.12818,0,0.156976,0.165844,0.190809,0.12978
29,0.0123061,0.194482,0.227999,0.194411,0.192699,0.143917,0.188417,0.120718,0.177641,0.180486,0.197736,0.161517
30,0,0.193454,0.253234,0.201782,0.200196,0.211996,0.166626,0.145837,0.147116,0.105472,0.192544,0.16497
31,0,0.335708,0.259072,0.231762,0.230379,0.175381,0.207157,0.125801,0.169848,0.17232,0.1822,0.169098
32,0,0.218922,0.242161,0.171939,0,0.157931,0.172261,0.120296,0.159103,0.118487,0.232999,0.143916
33,0,0.241618,0.210688,0.222883,0,0.167727,0.158818,0.114001,0.130369,0.106064,0.144492,0.122179
34,0.0213046,0.195507,0.219811,0.195524,0.152534,0.180601,0.214977,0.133649,0.171673,0.182799,0.197056,0.129677
35,0,0.269487,0.234643,0.189698,0.163934,0.192769,0.221819,0.161011,0.171189,0.168996,0.147324,0.131292
36,0,0.247441,0.244364,0.229099,0,0.205397,0.125564,0.172205,0.180172,0.139956,0.172602,0.146368
37,0,0.193485,0.223121,0.172808,0,0.152421,0.192218,0.13734,0.155342,0.173949,0.149131,0.143448
38,0,0.20766,0.26344,0.179697,0.186688,0.216654,0.220174,0.140227,0.144733,0,0.158577,0.138169
39,0,0.28625,0.278851,0.234802,0.21799,0.192091,0.142308,0.110892,0.137041,0.122951,0.162883,0.154098
40,0.0305053,0.269884,0.21952,0.202806,0.169478,0,0.19817,0.140023,0.164523,0.0908686,0.230448,0.164236
41,0.0780035,0.262589,0.2314,0.165949,0.182504,0.172781,0.187419,0.106374,0.135918,0.129849,0.202288,0.145116
42,0,0.247095,0.204354,0.202005,0.194208,0.171058,0.138876,0.142812,0.157329,0.184962,0.17844,0.151019
